Hosts,Bytes,PacketsPerSecond
1,64,6249.995712
1,128,4734.846024
1,256,3188.774394
1,512,1929.011937
1,768,1382.743153
1,1024,1077.586079
1,1536,747.607594
1,2048,572.344286
1,3072,389.650856
1,4000,302.224361
2,64,12499.842124
2,128,8328.620711
2,256,4495.030516
2,512,2340.451973
2,768,1582.108504
2,1024,1194.931721
2,1536,802.266950
2,2048,603.839975
2,3072,403.996674
2,4000,310.784093
3,64,14404.116458
3,128,8258.678096
3,256,4469.315526
3,512,2330.599658
3,768,1575.708299
3,1024,1190.261294
3,1536,799.393974
3,2048,601.748387
3,3072,402.681224
3,4000,309.814401
4,64,14150.815171
4,128,8193.239313
4,256,4441.851113
4,512,2320.041209
4,768,1569.699810
4,1024,1185.693484
4,1536,796.678793
4,2048,599.680275
4,3072,401.558899
4,4000,308.999511
5,64,14108.008144
5,128,8178.146317
5,256,4435.116710
5,512,2313.148231
5,768,1564.916064
5,1024,1182.391717
5,1536,794.474305
5,2048,598.381527
5,3072,400.703854
5,4000,308.454142
6,64,14125.819928
6,128,8178.317841
6,256,4419.941295
6,512,2308.018268
6,768,1560.880233
6,1024,1179.945063
6,1536,792.742743
6,2048,597.022982
6,3072,400.049383
6,4000,307.994649
7,64,13999.379643
7,128,8132.719989
7,256,4412.921750
7,512,2300.780196
7,768,1556.944108
7,1024,1176.870618
7,1536,791.128763
7,2048,596.082093
7,3072,399.497797
7,4000,307.666103
8,64,13920.230988
8,128,8143.653869
8,256,4396.465371
8,512,2292.698151
8,768,1553.295235
8,1024,1174.306257
8,1536,789.491728
8,2048,594.800322
8,3072,398.876582
8,4000,307.344911
9,64,13909.246411
9,128,8118.586742
9,256,4376.441610
9,512,2288.211775
9,768,1548.051917
9,1024,1171.513860
9,1536,787.398302
9,2048,594.099624
9,3072,398.447580
9,4000,307.179861
10,64,13889.374806
10,128,8111.321630
10,256,4369.297513
10,512,2282.812673
10,768,1545.860224
10,1024,1168.845565
10,1536,786.785165
10,2048,593.309270
10,3072,398.278369
10,4000,306.940370
11,64,13698.509651
11,128,8068.767934
11,256,4360.267155
11,512,2277.430131
11,768,1542.385368
11,1024,1166.883186
11,1536,785.705345
11,2048,592.659145
11,3072,397.958639
11,4000,306.773864
12,64,13665.261957
12,128,7966.620695
12,256,4348.287537
12,512,2271.322327
12,768,1538.783215
12,1024,1164.380941
12,1536,784.566675
12,2048,591.647185
12,3072,397.620802
12,4000,306.704325
13,64,13561.363234
13,128,7995.587220
13,256,4334.768183
13,512,2264.967468
13,768,1535.540611
13,1024,1162.447384
13,1536,783.113724
13,2048,591.295080
13,3072,397.363307
13,4000,306.514218
14,64,13672.555562
14,128,8007.511703
14,256,4321.222271
14,512,2258.755913
14,768,1532.868163
14,1024,1160.603817
14,1536,782.456205
14,2048,590.647187
14,3072,397.313076
14,4000,306.494637
15,64,13482.363519
15,128,7944.209672
15,256,4309.690918
15,512,2256.439006
15,768,1528.831480
15,1024,1158.799270
15,1536,781.578615
15,2048,590.319823
15,3072,397.272466
15,4000,306.357129
16,64,13430.633220
16,128,7887.237278
16,256,4300.518577
16,512,2252.877906
16,768,1526.144224
16,1024,1157.193062
16,1536,780.731571
16,2048,589.954192
16,3072,396.995516
16,4000,306.428619
17,64,13565.405114
17,128,7903.745287
17,256,4291.468698
17,512,2243.992196
17,768,1525.372096
17,1024,1155.004189
17,1536,780.420900
17,2048,590.195840
17,3072,396.901324
17,4000,306.169555
18,64,13208.538967
18,128,7860.058916
18,256,4285.157190
18,512,2241.651294
18,768,1522.035172
18,1024,1154.328036
18,1536,779.798685
18,2048,589.553635
18,3072,396.821614
18,4000,306.043603
19,64,13350.132422
19,128,7859.910935
19,256,4266.550252
19,512,2238.752167
19,768,1520.750448
19,1024,1152.126843
19,1536,779.586699
19,2048,589.201241
19,3072,396.716961
19,4000,306.219664
20,64,13221.910774
20,128,7853.561423
20,256,4240.943315
20,512,2232.348738
20,768,1515.045122
20,1024,1152.212177
20,1536,778.366749
20,2048,588.966046
20,3072,396.499199
20,4000,306.167214
21,64,13148.444854
21,128,7797.952541
21,256,4224.361104
21,512,2224.372540
21,768,1514.947474
21,1024,1150.256821
21,1536,777.865369
21,2048,588.914832
21,3072,396.319813
21,4000,306.115925
22,64,12858.713239
22,128,7778.480736
22,256,4227.501328
22,512,2221.609542
22,768,1514.419770
22,1024,1150.654764
22,1536,778.307544
22,2048,588.757143
22,3072,396.444171
22,4000,306.392037
23,64,12942.769825
23,128,7773.843750
23,256,4220.385994
23,512,2223.206022
23,768,1511.766360
23,1024,1148.628421
23,1536,776.825891
23,2048,588.249642
23,3072,396.401419
23,4000,306.290375
24,64,13088.550103
24,128,7769.963828
24,256,4202.376669
24,512,2213.249852
24,768,1507.579331
24,1024,1149.801999
24,1536,777.236444
24,2048,588.414720
24,3072,396.488527
24,4000,306.162573
