Hosts,Bytes,PacketsPerSecond
1,64,4.199997
1,128,5.606058
1,256,7.040814
1,512,8.209875
1,768,8.716813
1,1024,8.999999
1,1536,9.306219
1,2048,9.468864
1,3072,9.638404
1,4000,9.719535
2,64,8.399894
2,128,9.861087
2,256,9.925027
2,512,9.960964
2,768,9.973612
2,1024,9.980070
2,1536,9.986619
2,2048,9.989929
2,3072,9.993262
2,4000,9.994816
3,64,9.679566
3,128,9.778275
3,256,9.868249
3,512,9.919032
3,768,9.933265
3,1024,9.941062
3,1536,9.950856
3,2048,9.955325
3,3072,9.960723
3,4000,9.963631
4,64,9.509348
4,128,9.700795
4,256,9.807607
4,512,9.874095
4,768,9.895388
4,1024,9.902912
4,1536,9.917058
4,2048,9.921110
4,3072,9.932961
4,4000,9.937424
5,64,9.480581
5,128,9.682925
5,256,9.792738
5,512,9.844759
5,768,9.865231
5,1024,9.875336
5,1536,9.889616
5,2048,9.899624
5,3072,9.911811
5,4000,9.919885
6,64,9.492551
6,128,9.683128
6,256,9.759230
6,512,9.822926
6,768,9.839789
6,1024,9.854901
6,1536,9.868062
6,2048,9.877148
6,3072,9.895622
6,4000,9.905108
7,64,9.407583
7,128,9.629140
7,256,9.743731
7,512,9.792121
7,768,9.814976
7,1024,9.829223
7,1536,9.847971
7,2048,9.861582
7,3072,9.881978
7,4000,9.894542
8,64,9.354395
8,128,9.642086
8,256,9.707396
8,512,9.757723
8,768,9.791973
8,1024,9.807806
8,1536,9.827593
8,2048,9.840377
8,3072,9.866611
8,4000,9.884212
9,64,9.347014
9,128,9.612407
9,256,9.663183
9,512,9.738629
9,768,9.758919
9,1024,9.784484
9,1536,9.801534
9,2048,9.828784
9,3072,9.855999
9,4000,9.878904
10,64,9.333660
10,128,9.603805
10,256,9.647409
10,512,9.715651
10,768,9.745103
10,1024,9.762198
10,1536,9.793902
10,2048,9.815709
10,3072,9.851814
10,4000,9.871202
11,64,9.205398
11,128,9.553421
11,256,9.627470
11,512,9.692743
11,768,9.723197
11,1024,9.745808
11,1536,9.780460
11,2048,9.804953
11,3072,9.843905
11,4000,9.865847
12,64,9.183056
12,128,9.432479
12,256,9.601019
12,512,9.666748
12,768,9.700489
12,1024,9.724910
12,1536,9.766286
12,2048,9.788211
12,3072,9.835548
12,4000,9.863611
13,64,9.113236
13,128,9.466775
13,256,9.571168
13,512,9.639702
13,768,9.680048
13,1024,9.708761
13,1536,9.748200
13,2048,9.782386
13,3072,9.829179
13,4000,9.857497
14,64,9.187957
14,128,9.480894
14,256,9.541259
14,512,9.613265
14,768,9.663201
14,1024,9.693363
14,1536,9.740015
14,2048,9.771667
14,3072,9.827936
14,4000,9.856868
15,64,9.060148
15,128,9.405944
15,256,9.515798
15,512,9.603404
15,768,9.637754
15,1024,9.678292
15,1536,9.729091
15,2048,9.766251
15,3072,9.826932
15,4000,9.852445
16,64,9.025386
16,128,9.338489
16,256,9.495545
16,512,9.588248
16,768,9.620813
16,1024,9.664876
16,1536,9.718547
16,2048,9.760202
16,3072,9.820081
16,4000,9.854744
17,64,9.115952
17,128,9.358034
17,256,9.475563
17,512,9.550431
17,768,9.615946
17,1024,9.646595
17,1536,9.714679
17,2048,9.764200
17,3072,9.817751
17,4000,9.846413
18,64,8.876138
18,128,9.306310
18,256,9.461627
18,512,9.540468
18,768,9.594910
18,1024,9.640948
18,1536,9.706934
18,2048,9.753575
18,3072,9.815779
18,4000,9.842362
19,64,8.971289
19,128,9.306135
19,256,9.420543
19,512,9.528129
19,768,9.586811
19,1024,9.622563
19,1536,9.704295
19,2048,9.747745
19,3072,9.813191
19,4000,9.848024
20,64,8.885124
20,128,9.298617
20,256,9.364003
20,512,9.500876
20,768,9.550844
20,1024,9.623276
20,1536,9.689109
20,2048,9.743854
20,3072,9.807804
20,4000,9.846338
21,64,8.835755
21,128,9.232776
21,256,9.327389
21,512,9.466930
21,768,9.550229
21,1024,9.606945
21,1536,9.682868
21,2048,9.743007
21,3072,9.803367
21,4000,9.844688
22,64,8.641055
22,128,9.209721
22,256,9.334323
22,512,9.455170
22,768,9.546902
22,1024,9.610269
22,1536,9.688372
22,2048,9.740398
22,3072,9.806443
22,4000,9.853568
23,64,8.697541
23,128,9.204231
23,256,9.318612
23,512,9.461965
23,768,9.530175
23,1024,9.593345
23,1536,9.669929
23,2048,9.732002
23,3072,9.805386
23,4000,9.850298
24,64,8.795506
24,128,9.199637
24,256,9.278848
24,512,9.419591
24,768,9.503780
24,1024,9.603146
24,1536,9.675039
24,2048,9.734733
24,3072,9.807540
24,4000,9.846188
